2025-03-25 15:35:34.935 | INFO     | src.ui.connection_widget:handle_connection:64 - 已连接到设备 10.160.129.66:1448
2025-03-25 15:35:38.228 | INFO     | src.ui.device_info_widget:get_device_info:54 - 已获取设备信息
2025-03-25 15:35:48.657 | INFO     | src.ui.api_test_widget:generate_landing_pose:135 - 正在生成Landing Pose: 距离=1.0, 反向=False
2025-03-25 15:35:48.658 | INFO     | src.ui.api_test_widget:generate_landing_pose:158 - Landing Pose生成完成
2025-03-25 15:36:12.819 | INFO     | src.ui.device_info_widget:get_device_info:54 - 已获取设备信息
2025-03-25 15:36:15.525 | INFO     | src.ui.connection_widget:handle_connection:74 - 已断开设备连接
2025-03-25 15:40:48.964 | INFO     | src.ui.connection_widget:handle_connection:80 - 已连接到设备 10.160.129.66:1448
2025-03-25 15:40:52.343 | INFO     | src.ui.device_info_widget:get_device_info:61 - 已获取设备信息
2025-03-25 15:41:03.451 | INFO     | src.ui.api_test_widget:generate_landing_pose:145 - 正在生成Landing Pose: 距离=1.0, 反向=False
2025-03-25 15:41:03.465 | INFO     | src.ui.api_test_widget:generate_landing_pose:151 - Landing Pose生成完成
2025-03-25 15:41:55.629 | INFO     | src.ui.api_test_widget:lift_shelf:190 - 正在顶升货架...
2025-03-25 15:41:55.642 | INFO     | src.ui.api_test_widget:lift_shelf:196 - 货架顶升完成
2025-03-25 15:42:20.291 | INFO     | src.ui.api_test_widget:lower_shelf:208 - 正在放下货架...
2025-03-25 15:42:20.303 | INFO     | src.ui.api_test_widget:lower_shelf:214 - 货架放下完成
2025-03-25 15:42:43.327 | INFO     | src.ui.api_test_widget:go_home:226 - 正在执行回桩...
2025-03-25 15:42:43.341 | INFO     | src.ui.api_test_widget:go_home:232 - 回桩完成
2025-03-25 15:43:43.498 | INFO     | src.ui.connection_widget:handle_connection:97 - 已断开设备连接
2025-03-25 15:43:44.772 | INFO     | src.ui.connection_widget:handle_connection:80 - 已连接到设备 10.160.129.66:1448
2025-03-25 15:50:52.059 | INFO     | src.ui.connection_widget:handle_connection:97 - 已断开设备连接
2025-03-25 15:50:53.118 | INFO     | src.ui.connection_widget:handle_connection:80 - 已连接到设备 10.160.129.66:1448
2025-03-25 15:50:56.941 | INFO     | src.ui.device_info_widget:get_device_info:61 - 已获取设备信息
2025-03-25 15:51:45.247 | INFO     | src.ui.connection_widget:handle_connection:97 - 已断开设备连接
2025-03-25 15:51:47.735 | INFO     | src.ui.connection_widget:handle_connection:80 - 已连接到设备 10.160.129.66:1448
2025-03-25 15:52:31.918 | INFO     | src.ui.api_test_widget:execute_docking:168 - 正在执行货架对接: 模式=坐标值, x=16.46, y=-9.12, yaw=-0.6
2025-03-25 15:52:31.935 | INFO     | src.ui.api_test_widget:execute_docking:178 - 货架对接执行完成
2025-03-25 15:52:50.113 | INFO     | src.ui.connection_widget:handle_connection:97 - 已断开设备连接
2025-03-25 15:52:50.844 | INFO     | src.ui.connection_widget:handle_connection:80 - 已连接到设备 10.160.129.66:1448
2025-03-25 15:53:10.686 | INFO     | src.ui.api_test_widget:generate_landing_pose:145 - 正在生成Landing Pose: 距离=1.0, 反向=False
2025-03-25 15:53:10.751 | INFO     | src.ui.api_test_widget:generate_landing_pose:151 - Landing Pose生成完成
2025-03-25 15:53:21.879 | INFO     | src.ui.api_test_widget:execute_docking:168 - 正在执行货架对接: 模式=坐标值, x=16.46, y=-9.12, yaw=-0.6
2025-03-25 15:53:21.918 | INFO     | src.ui.api_test_widget:execute_docking:178 - 货架对接执行完成
2025-03-25 15:54:16.432 | INFO     | src.ui.api_test_widget:lift_shelf:190 - 正在顶升货架...
2025-03-25 15:54:16.517 | INFO     | src.ui.api_test_widget:lift_shelf:196 - 货架顶升完成
2025-03-25 15:54:26.244 | INFO     | src.ui.api_test_widget:lower_shelf:208 - 正在放下货架...
2025-03-25 15:54:26.381 | INFO     | src.ui.api_test_widget:lower_shelf:214 - 货架放下完成
2025-03-25 15:57:37.850 | INFO     | src.ui.connection_widget:handle_connection:97 - 已断开设备连接
2025-03-25 15:57:53.810 | INFO     | src.ui.connection_widget:handle_connection:80 - 已连接到设备 10.160.129.66:1448
2025-03-25 15:57:57.932 | INFO     | src.ui.device_info_widget:get_device_info:61 - 已获取设备信息
2025-03-25 15:58:04.520 | INFO     | src.ui.api_test_widget:lift_shelf:190 - 正在顶升货架...
2025-03-25 15:58:04.626 | INFO     | src.ui.api_test_widget:lift_shelf:196 - 货架顶升完成
2025-03-25 15:58:18.846 | INFO     | src.ui.api_test_widget:lower_shelf:208 - 正在放下货架...
2025-03-25 15:58:18.889 | INFO     | src.ui.api_test_widget:lower_shelf:214 - 货架放下完成
2025-03-25 15:58:27.273 | INFO     | src.ui.api_test_widget:lower_shelf:208 - 正在放下货架...
2025-03-25 15:58:27.319 | INFO     | src.ui.api_test_widget:lower_shelf:214 - 货架放下完成
2025-03-25 15:59:11.459 | INFO     | src.ui.api_test_widget:go_home:226 - 正在执行回桩...
2025-03-25 15:59:11.483 | INFO     | src.ui.api_test_widget:go_home:232 - 回桩完成
2025-03-25 15:59:19.772 | INFO     | src.ui.api_test_widget:lift_shelf:190 - 正在顶升货架...
